Nome Trabalho;Nome Evento Cadastrado;Nome Evento Canônico
Autenticação mútua de nós sensores com nós intermediários para IoT no contexto de Fog Computing;Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC), 2Anais do Workshop de Trabalhos de Iniciação Científica e Graduação (WTG - SBRC 2018);Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
Mutual Authentication for IoT in the Context of Fog Computing;2019 11th International Conference on Communication Systems &amp,amp, Networks (COMSNETS);International Conference on COMmunication Systems & NETworkS
Autonomic IoT Battery Management with Fog Computing;14th International Conference on Green, Pervasive and Cloud Computing;International Conference on Grid And Pervasive Computing
Ambiente de experimentação para avaliação protocolos de mensagem para IoT na Fog;SBRC 2020  WPEIF (Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos - Workshop de Pesquisa Experimental da Internet do Futuro);Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
Avaliação de desempenho de protocolos de mensagens com arquitetura publish/subscribe no ambiente de computação em nevoeiro: um estudo sobre desempenho do MQTT, AMQP e STOMP;SBRC 2020  WPEIF (Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos - Workshop de Pesquisa Experimental da Internet do Futuro).;Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
Desarrollando competencias personales y habilidades sociales en ingeniería informática mediante el uso de juegos serios;Jornadas sobre Enseñanza Universitaria de la Informática;Jornadas de Enseñanza Universitaria de la Informática
Juegos serios para formar en los conceptos del lenguaje C: una experiencia en Fundamentos de Informática;XXV Jornadas sobre Enseñanza Universitaria de la Informática;Jornadas de Enseñanza Universitaria de la Informática
Uma Análise das Diretrizes para Ensino de Pensamento Computacional propostas pela SBC na Educação Básica;X Reunião da ABAVE;REUNIÃO DA ABAVE
CodeMaster: Um Modelo de Avaliação do Pensamento Computacional na Educação Básica através da Análise de Código de Linguagem de Programação Visual;X Reunião da Abave;REUNIÃO DA ABAVE
CodeMaster UI design - app inventor;Proceedings of the 18th Brazilian Symposium on Human Factors in Computing Systems - IHC '19;Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais
MEEGA+: A Method for the Evaluation of the Quality of Games for Computing Education;Anais do Concurso de Teses e Dissertações da SBGames;CONCURSO DE TESES E DISSERTAÇÕES DA SBGAMES
Uma Análise do Sequenciamento Pedagógico no Ensino de Computação na Educação Básica;Simpósio Brasileiro de Informática na Educação no VIII Congresso Brasileiro de Informática na Educação;Workshops do Congresso Brasileiro de Informática na Educação
A Method for the Evaluation of the Quality of Games for Computing Education;Concurso Alexandre Direne de Teses, Dissertações e Trabalhos de Conclusão no VIII Congresso Brasileiro de Informática na Educação;Workshops do Congresso Brasileiro de Informática na Educação
Um Modelo de Avaliação do Pensamento Computacional na Educação Básica através da Análise de Código de Linguagem de Programação Visual;Concurso Alexandre Direne de Teses, Dissertações e Trabalhos de Conclusão no VIII Congresso Brasileiro de Informática na Educação;Workshops do Congresso Brasileiro de Informática na Educação
Reliability Evaluation of Circuits Designed in Multi- and Single-Stage Versions;LASCAS - IEEE Latin American Symposium on Circuits and Systems 2018;IEEE Latin American Symposium on Circuits and Systems
Simulador de NoCs modelado como um SMA;WESAAC - Workshop-Escola de Sistemas de Agentes, seus Ambientes e Aplicações;Workshop-Escola de Sistemas Agentes, seus Ambientes e apliCações
