SIGLA;Nome Padrão;Qualis 2016
KR;International Conference on Principles of Knowledge Representation and Reasoning;A2
MDM;IEEE International Conference on Mobile Data Management;A2
RECOMB;International Conference on Research in Computational Molecular Biology;A2
SLT;Workshop on Spoken Language Technology;A2
WIMOB;IEEE International Conference on Wireless and Mobile Computing, Networking and Communications;A2
CADE;International Conference on Automated Deduction;A2
CICLING;International Conference on Intelligent Text Processing and Computational Linguistics;A2
CSMR;European Conference on Software Maintenance and Reengineering;A2
EDOC;IEEE International Enterprise Distributed Object Computing Conference;A2
HPCC;International Conference on High Performance Computing and Communications;A2
ICB;International Conference on Biometrics;A2
ICSOC;International Conference on Service Oriented Computing;A2
IMIS;International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing;A2
ISCC;International Symposium on Computers and Communications;A2
ITICSE;Conference on Innovation and Technology in Computer Science Education;A2
PDP;Euromicro International Conference on Parallel, Distributed and Network-Based Processing;A2
TABLETOPS;International Conference on Interactive Tabletops and Surfaces;A2
UCC;IEEE/ACM International Conference on Utility and Cloud Computing;A2
WCRE;Working Conference on Reverse Engineering;A2
FASE;International Conference on Fundamental Approaches to Software Engineering;A2
FMCAD;International Conference on Formal Methods in Computer-Aided Design;A2
SEA;International Symposium on Experimental Algorithms;A2
VAST;IEEE Conference on Visual Analytics Science and Technology;A2
NFM;NASA Formal Methods Symposium;A2
AIIDE;AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment;A2
EICS;ACM SIGCHI Symposium on Engineering Interactive Computing Systems;A2
FM;International Symposium on Formal Methods;A2
TREC;Text Retrieval Conference;A2
SI3D;ACM Symposium on Interactive 3D Graphics;A2
SI3D;ACM Symposium on Interactive 3D Graphics and Games;A2
ISLPED;International Symposium on Low Power Electronics and Design;A2
MIDDLEWARE;International Middleware Conference;A2
ARES;International Conference on Availability, Reliability and Security;A2
ETRA;Biennial ACM Symposium on Eye Tracking Research & Applications;A2
IEEESCC;IEEE International Conference on Services Computing;A2
VNC;IEEE Vehicular Networking Conference;A2
MASCOTS;International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems;A2
WSC;Winter Simulation Conference;A2
CLOSER;International Conference on Cloud Computing and Services Science;A2
I2MTC;IEEE International Instrumentation and Measurement Technology Conference;A2
SERVICES;IEEE World Congress on Services;A2
OM;International Workshop on Ontology Matching;A2
VAMOS;International Workshop on Variability Modelling of Software-intensive Systems;A2
ICPADS;International Conference on Parallel and Distributed Systems;A2
MODULARITY;International Conference on Modularity;A2
IGSC;International Green and Sustainable Computing Conference;A2
ICCCN;International Conference on Computer Communications and Networks;A2
CoopIS;International Conference on Cooperative Information Systems;A2
PESGM;IEEE PES General Meeting;B1
OFC;IEEE Optical Fiber Communication Conference;B1
VTC;Vehicular Technology Conference;B1
CDC;IEEE Conference on Decision and Control;B1
IVS;Intelligent Vehicles Symposium;B1
BIGDATA;IEEE International Congress on BigData;B1
CloudNet;IEEE International Conference on Cloud Networking;B1
EMBC;Annual International Conference of the IEEE Engineering in Medicine and Biology Society;B1
IFAC;World Congress of the International Federation of Automatic Control;B1
GLOBALSIP;Global Conference on Signal and Information Processing;B1
IECON;Annual Conference of the IEEE Industrial Electronics Society;B1
HOST;IEEE International Symposium on Hardware Oriented Security and Trust;B1
FEDCSIS;Federated Conference on Computer Science and Information Systems;B1
ISCIS;International Symposium on Computer and Information Sciences;B1
SMARTGRIDCOMM;IEEE International Conference on Smart Grid Communications;B1
WCNC;IEEE Wireless Communications and Networking Conference;B1
CANS;International Conference on Cryptology and Network Security;B1
HCOMP;Conference on Human Computation and Crowdsourcing;B1
ICOIN;International Conference on Information Networking;B1
SOSE;IEEE International Symposium on Service-Oriented System Engineering;B1
ISM;IEEE International Symposium on Multimedia;B1
VISAPP;International Conference on Computer Vision Theory and Applications;B1
CASE;IEEE Conference on Automation Science and Engineering;B1
DCC;Data Compression Conference;B1
EASE;International Conference on Evaluation and Assessment in Software Engineering;B1
ER;International Conference on Conceptual Modeling;B1
FIE;IEEE Frontiers in Education Conference;B1
FUZZIEEE;IEEE International Conference on Fuzzy Systems;B1
HIPC;IEEE International Conference on High Performance Computing;B1
ICCSA;International Conference on Computational Science and Its Applications;B1
INDIN;IEEE International Conference on Industrial Informatics;B1
MMM;International Conference on Multimedia Modelling;B1
QoMEX;International Workshop on Quality of Multimedia Experience;B1
SOCINFO;International Conference on Social Informatics;B1
3DUI;IEEE Symposium on 3D User Interfaces;B1
AH;Augmented Human International Conference;B1
ICWE;International Conference on Web Engineering;B1
VR;IEEE Virtual Reality Conference;B1
ICSC;International Conference on Semantic Computing;B1
ICTAI;IEEE International Conference on Tools with Artificial Intelligence;B1
ISPD;ACM International Symposium on Physical Design;B1
NIME;International Conference on New Interfaces for Musical Expression;B1
OzCHI;Australian Conference on Human-Computer Interaction;B1
PACIS;Pacific Asia Conference on Information Systems;B1
XP;International Conference on Agile Software Development;B1
DSD;Euromicro Conference on Digital System Design;B1
ICIAP;International Conference on Image Analysis and Processing;B1
ICMLA;IEEE International Conference on Machine Learning and Applications;B1
ITS;International Conference on Intelligent Tutoring Systems;B1
IVA;International Conference on Intelligent Virtual Agents;B1
BIBM;IEEE International Conference on Bioinformatics and Biomedicine;B1
ICALT;IEEE International Conference on Advanced Learning Technologies;B1
INCOS;International Conference on Intelligent Networking and Collaborative Systems;B1
ISAAC;International Symposium Algorithms and Computation;B1
ISVC;International Symposium on Visual Computing;B1
LPNMR;International Conference on Logic Programming and Non-monotonic Reasoning;B1
RTCSA;International Conference on Embedded and Real-Time Computing Systems and Applications;B1
SEFM;International Conference on Software Engineering and Formal Methods;B1
SSDBM;International Conference on Scientific and Statistical Database Management;B1
WISE;International Conference on Web Information Systems Engineering;B1
CSEDU;International Conference on Computer Supported Education;B1
ISORC;IEEE International Symposium on RealTime Distributed Computing;B1
ISVLSI;IEEE Computer Society Annual Symposium on VLSI;B1
SIBGRAPI;Conference on Graphics, Patterns and Images;B1
BIBE;IEEE International Conference on BioInformatics and BioEngineering;B1
ICLP;International Conference on Logic Programming;B1
IPCO;Conference on Integer Programming and Combinatorial Optimization;B1
